,3.48833,72.863
CJC,-22.4982,-68.9036
CJF,-22.9667,118.813
CJJ,36.717,127.499
CJL,35.8866,71.8006
CJM,10.7112,99.3617
CJM9,49.7674,-94.4927
CJN,-7.7199,108.489
CJS,31.6361,-106.429
CJT2,51.7322,-96.9344
CJU,33.5113,126.493
CKB,39.2966,-80.2281
CKC,49.4156,31.9953
CKD9,51.13,-91.6656
CKG,29.7192,106.642
CKH,70.6231,147.902
CKI,-11.165,132.483
CKL,55.8783,38.0617
CKS,-6.11528,-50.0014
CKT,36.5012,61.0649
CKV,36.6219,-87.415
CKY,9.57689,-13.612
CKZ,40.1377,26.4268
CLA4,44.0894,-79.495
CLD,33.1283,-117.28
CLE,41.4117,-81.8498
CLJ,46.7852,23.6862
CLL,30.5886,-96.3638
CLM,48.1202,-123.5
CLN,-7.32044,-47.4587
CLO,3.54322,-76.3816
CLP,58.8337,-158.529
CLQ,19.277,-103.577
CLS,46.677,-122.983
CLT,35.214,-80.9431
CLU,39.2619,-85.8963
CLV,-17.7253,-48.6075
CLW,27.9767,-82.7587
CLY,42.5244,8.79306
CLZ,8.92466,-67.4171
CMA,-28.03,145.622
CMB,7.18076,79.8841
CMD,-34.6239,148.028
CME,18.6537,-91.799
CMF,45.6381,5.88023
CMG,-19.0119,-57.6714
CMH,39.998,-82.8919
CMI,40.0392,-88.2781
CMJ,23.2131,119.418
CMK,-14.3069,35.1325
CMN,33.3675,-7.58997
CMP,-9.31997,-50.3285
CMQ,-22.7731,147.621
CMR,48.1099,7.35901
CMU,-6.02429,144.971
CMW,21.4203,-77.8475
CMX,47.1684,-88.4891
CNB,-30.9833,148.376
CNC,-10.05,143.07
CNC3,43.7603,-79.875
CND,44.3622,28.4883
CND4,45.1108,-78.64
CNF,-19.6244,-43.9719
CNF4,44.3647,-78.7839
CNG,45.6583,-0.3175
CNI,39.2667,122.667
CNJ,-20.6686,140.504
CNJ4,44.6777,-79.3102
CNL,57.5035,10.2294
CNM,32.3375,-104.263
CNN,11.9186,75.5472
CNO,33.9747,-117.637
CNP,70.7431,-22.6505
CNQ,-27.4455,-58.7619
CNR,-26.3325,-70.6073
CNS,-16.8858,145.755
CNU,37.6688,-95.4851
CNU8,43.9358,-79.2622
CNV8,44.4411,-79.9628
CNW,31.6378,-97.0741
CNX,18.7668,98.9626
CNY,38.755,-109.755
CNY3,44.4492,-80.1583
CO00,39.28,-103.067
COC,-31.2969,-57.9966
COD,44.5202,-109.024
COE,47.7743,-116.82
COF,28.2349,-80.6101
COG,5.08333,-76.7
COH,26.3305,89.4672
COJ,-31.3325,149.267
COK,10.152,76.4019
CON,43.2027,-71.5023
COO,6.35723,2.38435
COQ,48.1357,114.646
COR,-31.3236,-64.208
COS,38.8058,-104.701
COT,28.4567,-99.2203
COU,38.8181,-92.2196
COX,24.1587,-77.5898
COZ,18.9075,-70.7219
CPA,4.37902,-7.69695
CPB,8.63333,-77.35
CPC,-40.0754,-71.1373
CPD,-29.04,134.721
CPE,19.8168,-90.5003
CPH,55.6179,12.656
CPO,-27.2612,-70.7792
CPQ,-22.8592,-47.1082
CPR,42.908,-106.464
CPT,-33.9648,18.6017
CPV,-7.26992,-35.8964
CPX,18.3133,-65.3043
CQA,-13.5744,-52.2706
CQD,32.2972,50.8422
CQF,50.9621,1.95476
CQM,38.8564,-3.97
CQS,-12.4211,-64.2516
CRA,44.3181,23.8886
CRC,4.75818,-75.9557
CRD,-45.7853,-67.4655
CRE,33.8117,-78.7239
CRG,30.3363,-81.5144
CRI,22.7456,-74.1824
CRK,15.186,120.56
CRL,50.4592,4.45382
CRM,12.5024,124.636
CRP,27.7704,-97.5012
CRQ,-17.6523,-39.2531
CRV,38.9972,17.0802
CRW,38.3731,-81.5932
CRZ,39.0833,63.6133
CSA,56.0575,-6.24306
CSB,45.42,22.2533
CSF,49.2535,2.51914
CSG,32.5163,-84.9389
CSH,65.03,35.7333
CSK,12.3953,-16.748
CSM,35.3398,-99.2005
CSO,51.8564,11.4203
CSV,35.9513,-85.085
CSX,28.1892,113.22
CSY,56.0903,47.3473
CSZ,-37.4461,-61.8893
CTA,37.4668,15.0664
CTB,48.6084,-112.376
CTC,-28.5956,-65.7517
CTD,7.98784,-80.4097
CTG,10.4424,-75.513
CTH,39.979,-75.8655
CTL,-26.4133,146.262
CTM,18.5047,-88.3268
CTN,-15.4447,145.184
CTS,42.7752,141.692
CTT,43.2525,5.78519
CTU,30.5785,103.947
CTY,29.6355,-83.1048
CUA,25.0538,-111.615
CUB,33.9705,-80.9952
CUC,7.92757,-72.5115
CUD,-26.8,153.1
CUE,-2.88947,-78.9844
CUF,44.547,7.62322
CUH,35.9499,-96.7731
CUL,24.7645,-107.475
CUM,10.4503,-64.1305
CUN,21.0365,-86.8771
CUP,10.66,-63.2617
CUQ,-13.7611,143.113
CUR,12.1889,-68.9598
CUT,-38.9397,-69.2646
CUU,28.7029,-105.965
CUZ,-13.5357,-71.9388
CVC,-33.7097,136.505
CVE,9.40092,-75.6913
CVF,45.3967,6.63472
CVG,39.0488,-84.6678
CVJ,18.8348,-99.2613
CVM,23.7033,-98.9565
CVN,34.4251,-103.079
CVO,44.4972,-123.29
CVQ,-24.8802,113.672
CVS,34.3828,-103.322
CVT,52.3697,-1.47972
CVU,39.6715,-31.1136
CWA,44.7776,-89.6668
CWB,-25.5285,-49.1758
CWC,48.2593,25.9808
CWE,30.1164,30.9154
CWI,41.8311,-90.3291
CWJ,23.2739,99.3736
CWL,51.3967,-3.34333
CWT,-33.8447,148.649
CWW,-35.9947,146.357
CXA,7.62551,-66.1628
CXB,21.4522,91.9639
CXH,49.2944,-123.111
CXI,1.98616,-157.35
CXJ,-29.1971,-51.1875
CXL,32.6695,-115.513
CXO,30.3518,-95.4145
CXP,-7.64506,109.034
CXR,11.9982,109.219
CYA,18.2711,-73.7883
CYAU,44.2303,-64.8561
CYAV,50.0564,-97.0325
CYAW,44.6397,-63.4994
CYAX,50.2944,-96.01
CYB,19.687,-79.8828
CYBU,53.3325,-104.008
CYBW,51.1031,-114.374
CYCP,52.1167,-119.283
CYDC,49.4681,-120.511
CYEE,44.6833,-79.9283
CYES,47.4906,-68.4819
CYF,60.1492,-164.286
CYFD,43.1314,-80.3425
CYG,-36.1828,147.888
CYGD,43.7669,-81.7106
CYGE,51.2992,-116.982
CYHS,44.1583,-81.0628
CYI,23.4618,120.393
CYJM,54.3972,-124.263
CYJQ,52.1379,-128.06
CYNN,59.4875,-97.7803
CYO,21.6165,-81.546
CYP,12.0727,124.545
CYPK,49.2161,-122.71
CYPT,41.7804,-82.678
CYR,-34.4564,-57.7706
CYRP,45.3192,-76.0222
CYS,41.1557,-104.812
CYSA,43.4156,-80.9344
CYSG,46.0964,-70.7147
CYT,60.081,-142.495
CYU,10.8581,121.069
CYVD,49.8783,-100.918
CYW,20.546,-100.887
CYX,68.7406,161.338
CYZ,16.9299,121.753
CYZY,55.3044,-123.132
CZA,20.6413,-88.4462
CZBA,43.4415,-79.8501
CZE,11.4149,-69.6809
CZF,61.7803,-166.039
CZL,36.276,6.62039
CZM,20.5224,-86.9256
CZS,-7.59991,-72.7695
CZU,9.33274,-75.2856
CZX,31.9197,119.779
DAA,38.715,-77.181
DAAK,36.5458,2.87611
DAAN,26.7101,0.285647
DAAQ,35.5254,2.87871
DAAZ,35.7522,0.626272
DAB,29.1799,-81.0581
DAC,23.8433,90.3978
DAD,16.0439,108.199
DAG,34.8537,-116.787
DAL,32.8471,-96.8518
DAM,33.4115,36.5156
DAN,36.5729,-79.3361
DAOE,35.7354,-0.805389
DAR,-6.87811,39.2026
DAT,40.0603,113.482
DAU,-9.08676,143.208
DAV,8.391,-82.435
DAX,31.1302,107.43
DAY,39.9024,-84.2194
DBA,28.8783,64.3998
DBB,30.9245,28.4614
DBC,45.5053,123.02
DBD,23.834,86.4253
DBM,10.35,37.717
DBN,32.5644,-82.9853
DBO,-32.2167,148.575
DBQ,42.402,-90.7095
DBT,11.967,38
DBV,42.5614,18.2682
DCA,38.8521,-77.0377
DCF,15.3367,-61.3922
DCI,39.3542,8.97248
DCM,43.5563,2.28918
DCN,-17.5814,123.828
DCT,22.1818,-75.7295
DCU,34.6527,-86.9454
DCY,29.3231,100.053
DDC,37.7634,-99.9656
DDG,40.0247,124.286
DEA,29.961,70.4859
DEB,47.4889,21.6153
DEC,39.8346,-88.8657
DED,30.1897,78.1803
DEE,43.9584,145.683
DEF,32.4344,48.3976
DEL,28.5665,77.1031
DEM,8.554,34.858
DEN,39.8617,-104.673
DES,-5.6967,53.6558
DET,42.4092,-83.0099
DEX,-4.8557,139.482
DEZ,35.2854,40.176
DFW,32.8968,-97.038
DGE,-32.5625,149.611
DGL,31.3426,-109.506
DGLW,10.0827,-2.50769
DGO,24.1242,-104.528
DGP,55.9447,26.665
DGT,9.33371,123.3
DHA,26.2654,50.152
DHF,24.2482,54.5477
DHI,28.7533,80.5819
DHM,32.1651,76.2634
DHN,31.3213,-85.4496
DHR,52.9234,4.78062
DHT,36.0226,-102.547
DIA,25.2611,51.5651
DIB,27.4839,95.0169
DIE,-12.3494,49.2917
DIG,27.7936,99.6772
DIJ,47.2689,5.09
DIK,46.7974,-102.802
DIL,-8.5464,125.526
DIN,21.3975,103.008
DIQ,-20.1807,-44.8709
DIR,9.6247,41.8542
DIS,-4.20635,12.6599
DIU,20.7131,70.9211
DIY,37.8939,40.201
DJB,-1.63802,103.644
DJE,33.875,10.7755
DJG,24.2928,9.45244
DJJ,-2.57695,140.516
DJO,6.79281,-6.47319
DKI,-17.9417,146.14
DKK,42.4933,-79.272
DKR,14.7397,-17.4902
DKS,73.5178,80.3797
DKV,-24.86,129.07
DLA,4.00608,9.71948
DLC,38.9657,121.539
DLD,60.4173,8.51835
DLE,47.0427,5.43506
DLF,29.3595,-100.778
DLG,59.0447,-158.505
DLH,46.8421,-92.1936
DLI,11.75,108.367
DLK,-29.0133,138.481
DLM,36.7131,28.7925
DLS,45.6185,-121.167
DLU,25.6494,100.319
DLY,-18.7694,169.001
DLZ,43.5917,104.43
DMA,32.1665,-110.883
DMB,42.8536,71.3036
DMD,-17.9403,138.822
DME,55.4088,37.9063
DMK,13.9126,100.607
DMM,26.4712,49.7979
DMN,32.2623,-107.721
DMT,-14.3769,-56.4004
DMU,25.8839,93.7711
DNA,26.3556,127.768
DNBK,12.4806,4.36944
DND,56.4525,-3.02583
DNDS,11.7952,9.31167
DNGU,12.1717,6.69611
DNH,40.1611,94.8092
DNJA,8.90059,11.2795
DNK,48.3572,35.1006
DNL,33.4665,-82.0394
DNN,34.7229,-84.8702
DNP,28.1111,82.2942
DNQ,-35.5594,144.946
DNR,48.5877,-2.07996
DNV,40.1992,-87.5959
DNZ,37.7856,29.7013
DOB,-5.77222,134.212
DOD,-6.17044,35.7526
DOG,19.1539,30.4301
DOH,25.2731,51.6081
DOK,48.0736,37.7397
DOL,49.3653,0.154306
DOM,15.547,-61.3
DOP,28.9857,82.8191
DOU,-22.2019,-54.9266
DOV,39.1295,-75.466
DOY,37.5086,118.788
DPA,41.9078,-88.2486
DPL,8.60198,123.342
DPO,-41.1697,146.43
DPS,-8.74817,115.167
DQA,46.7464,125.141
DQM,19.5019,57.6342
DRA,36.6194,-116.033
DRB,-17.37,123.661
DRE,46.0093,-83.7439
DRG,66.0696,-162.766
DRI,30.8317,-93.3399
DRJ,4.11136,-54.6728
DRK,8.71889,-83.6417
DRN,-28.5917,148.217
DRO,37.1515,-107.754
DRS,51.1328,13.7672
DRT,29.3742,-100.927
DRV,5.1561,73.1302
DRW,-12.4147,130.877
DRZD,18.9687,12.8687
DRZF,13.3729,12.6267
DSA,53.4805,-1.01066
DSD,16.2969,-61.0844
DSE,11.0825,39.7114
DSI,30.4001,-86.4715
DSK,31.9094,70.8966
DSM,41.534,-93.6631
DSN,39.49,109.861
DSO,39.7452,127.474
DSS,14.67,-17.0733
DTA,39.3806,-112.508
DTB,2.25973,98.9919
DTD,0.8106,114.531
DTE,14.1292,122.98
DTI,-18.232,-43.6504
DTM,51.5183,7.61224
DTN,32.5402,-93.745
DTTB,37.2454,9.79145
DTTD,32.3062,10.3821
DTTI,36.7213,9.94315
DTU,48.445,126.133
DTW,42.2124,-83.3534
DU9,42.8722,-79.5958
DUB,53.4213,-6.27007
DUC,34.4709,-97.9599
DUD,-45.9281,170.198
DUE,-7.40089,20.8185
DUG,31.469,-109.604
DUJ,41.1783,-78.8987
DUM,1.60919,101.434
DUR,-29.6144,31.1197
DUS,51.2895,6.76678
DUT,53.9001,-166.544
DVL,48.1142,-98.9088
DVO,7.12552,125.646
DVT,33.6883,-112.083
DWA,-12.5183,34.1319
DWB,-16.1017,45.3588
DWC,24.8964,55.1614
DWD,24.4499,44.1212
DWH,30.0618,-95.5528
DXB,25.2528,55.3644
DXMG,10.373,0.471382
DXR,41.3715,-73.4822
DXSK,8.99428,1.153
DYA,-22.6222,148.364
DYG,29.1028,110.443
DYL,40.333,-75.1223
DYR,64.7349,177.741
DYS,32.4208,-99.8546
DYU,38.5433,68.825
DZA,-12.8047,45.2811
DZN,47.7083,67.7333
DZO,-33.3589,-56.4992
EAA,64.7764,-141.151
EAE,-17.0903,168.343
EAM,17.6114,44.4192
EAS,43.3565,-1.79061
EAT,47.3989,-120.207
EAU,44.8658,-91.4843
EBA,42.7603,10.2394
EBB,0.042386,32.4435
EBBE,50.7586,4.76833
EBBL,51.1683,5.47
EBBX,49.8917,5.22389
EBCV,50.5758,3.831
EBD,13.1532,30.2327
EBEN,51.2117,4.58083
EBFN,51.0903,2.65278
EBFS,50.2433,4.64583
EBG,7.59647,-74.8089
EBH,33.7217,1.0925
EBJ,55.5259,8.5534
EBKW,51.3222,3.29306
EBL,36.2376,43.9632
EBLE,51.12,5.30722
EBM,31.7043,9.25462
EBNM,50.488,4.76892
EBSL,50.9475,5.59056
EBSP,50.4825,5.9103
EBST,50.7919,5.20167
EBSU,50.0344,5.44081
EBTN,50.7817,4.95778
EBU,45.5406,4.29639
EBUL,51.1442,3.47556
EBWE,51.3948,4.96019
EBZH,50.97,5.37507
ECA,44.3128,-83.4223
ECG,36.2606,-76.1746
ECH,-36.1572,144.762
ECI,11.4275,-86.0334
ECN,35.1547,33.4961
ECP,30.3571,-85.7954
ECV,40.3707,-3.78514
EDAB,51.1936,14.5197
EDAD,51.8317,12.191
EDAE,52.1959,14.5875
EDAI,52.8267,12.5419
EDAJ,50.8817,12.1358
EDAK,51.3081,13.5556
EDAL,52.3906,14.0972
EDAM,51.3631,11.9408
EDAN,53.3597,11.6153
EDAQ,51.5522,12.0539
EDAS,51.6344,13.6756
EDAV,52.8272,13.6936
EDAW,51.5778,12.4944
EDAY,52.5806,13.9167
EDBG,52.2417,11.8561
EDBJ,50.9153,11.7144
EDBK,52.9189,12.4253
EDBR,51.3633,14.95
EDBT,51.3806,11.4467
EDCA,53.8328,13.6686
EDCB,51.7458,11.2297
EDCL,52.7094,12.0733
EDCM,51.2969,14.1275
EDCO,51.2678,10.6347
EDCR,54.0819,11.6492
EDCS,52.3083,13.1006
EDCY,51.5756,14.1369
EDD,-25.2058,133.254
EDF,61.251,-149.807
EDFB,50.3358,8.87806
EDFC,49.9389,9.06389
EDFG,50.1972,9.17
EDFL,50.5439,8.59028
EDFN,50.8744,8.815
EDFQ,51.035,8.68083
EDFT,50.6833,9.41083
EDFV,49.6069,8.36833
EDFW,49.8178,9.8975
EDFZ,49.9675,8.14722
EDGZ,49.5675,8.61056
EDHB,54.2444,11.0247
EDHC,53.0161,11.1444
EDHE,53.6464,9.70417
EDHF,53.9944,9.57861
EDHM,53.915,10.0356
EDHP,54.5364,8.68
EDHS,53.5611,9.49917
EDHU,53.2075,9.57333
EDI,55.95,-3.3725
EDKL,51.0153,7.00556
EDKM,51.3028,8.23917
EDKN,51.1242,7.37361
EDKO,51.4025,8.64167
EDKV,50.4056,6.52889
EDKZ,51.1,7.6
EDL,0.404458,35.2389
EDLA,51.4839,7.89833
EDLB,51.78,7.28806
EDLD,51.6161,6.86528
EDLF,51.3339,6.35944
EDLH,51.6897,7.81611
EDLK,51.385,6.58778
EDLM,51.6472,7.16333
EDLO,51.9322,8.66167
EDLS,51.9958,6.84056
EDLT,51.9444,7.77389
EDM,46.7019,-1.37863
EDMB,48.1111,9.76278
EDME,48.3961,12.7236
EDML,48.5117,12.0333
EDMN,48.1069,10.525
EDMT,48.01,10.0986
EDMV,48.635,13.1956
EDNB,49.1247,12.9856
EDNF,48.8225,13.3675
EDNL,47.8589,10.0142
EDNM,49.2225,12.2967
EDNR,49.1419,12.0819
EDNV,47.9461,12.2047
EDNX,48.2394,11.5614
EDO,39.5546,27.0138
EDOG,51.5709,13.0516
EDOI,52.6617,12.7458
EDOJ,52.1411,12.6647
EDOV,52.6289,11.8186
EDPA,48.7778,10.2647
EDPW,49.0642,11.2092
EDQA,49.9204,10.9142
EDQF,49.3611,10.6694
EDQT,50.0181,10.5294
EDR,-14.8965,141.609
EDRA,50.5578,7.13639
EDRF,49.4731,8.19639
EDRI,49.1417,8.39472
EDRK,50.3256,7.52861
EDRN,49.9703,7.47917
EDRT,49.8639,6.7875
EDRV,50.4514,6.78333
EDRY,49.3047,8.45139
EDTF,48.0228,7.8325
EDTG,47.9028,7.61778
EDTK,49.2472,8.8938
EDTM,48.0539,9.37278
EDTN,48.6128,9.47722
EDTY,49.1183,9.78389
EDUS,51.6075,13.7436
EDUW,53.9219,13.2189
EDUZ,52.0008,12.1486
EDVC,52.6872,10.1114
EDVH,52.7619,9.61056
EDVI,51.8067,9.37833
EDVM,52.1814,9.94639
EDVN,51.7064,10.0397
EDVP,52.4025,10.2289
EDVR,52.1753,9.05333
EDVS,52.1544,10.4267
EDVU,52.9839,10.465
EDVW,51.9667,9.29167
EDVY,52.2208,8.85917
EDW,34.9054,-117.884
EDWC,52.4875,8.18556
EDWF,53.2719,7.44167
EDWH,53.0689,8.31361
EDWK,53.3328,9.02833
EDWM,53.0539,9.20861
EDWO,52.2864,7.96972
EDWQ,53.0361,8.50556
EDWV,52.9653,9.28278
EDXI,52.7097,9.1625
EDXM,53.9781,9.14472
EDXN,53.7672,8.64361
EDXP,53.7067,7.82028
EDXQ,53.1283,9.34861
EDXR,54.22,9.59944
EDXU,53.2867,8.94722
EECL,59.4486,24.7532
EED,34.7663,-114.623
EEEI,59.2603,24.2085
EEK,60.2137,-162.044
EEKU,58.1483,24.0025
EEN,42.8984,-72.2708
EERU,57.7839,23.2661
EFD,29.6073,-95.1588
EFEU,61.1161,22.2014
EFG,-9.15381,147.66
EFHE,60.1478,24.9244
EFHM,61.6897,23.0737
EFHN,59.8489,23.0836
EFIK,60.4625,23.6525
EFIM,61.2492,28.9037
EFKM,66.7129,27.1568
EFKY,60.5714,26.8961
EFL,38.1201,20.5005
EFME,62.9467,23.5189
EFNU,60.3339,24.2964
EFPI,61.2456,22.1934
EFPU,65.4022,26.9469
EFPY,63.7319,25.9263
EFRH,64.6881,24.6958
EFRN,62.0655,28.3565
EFRY,60.7447,24.1078
EFSE,61.0624,26.7989
EFTS,61.7733,24.027
EGAD,54.5811,-5.69194
EGAR,-67.5675,-68.1274
EGBG,52.6078,-1.03194
EGBM,52.8147,-1.76111
EGBO,52.5175,-2.25944
EGBS,52.2417,-2.88111
EGBT,52.0408,-1.09556
EGBW,52.1922,-1.61444
EGC,44.8253,0.518611
EGCB,53.4717,-2.38972
EGCD,53.3381,-2.14889
EGCF,53.5597,-0.858333
EGCJ,53.7885,-1.21688
EGCK,53.1018,-4.33761
EGCS,53.3811,-0.685278
EGCV,52.8339,-2.77167
EGDA,51.8837,-5.11997
EGDC,51.0872,-4.15034
EGDM,51.1522,-1.74741
EGDR,50.0861,-5.25571
EGDX,51.4048,-3.43575
EGE,39.6426,-106.918
EGEG,55.8614,-4.29694
EGH,31.0686,34.1296
EGHA,50.9672,-2.15361
EGHN,50.6531,-1.18222
EGHP,51.1939,-1.23472
EGHT,49.9456,-6.33139
EGI,30.6504,-86.5229
EGKH,51.1569,0.641667
EGLG,51.8025,-0.158056
EGLJ,51.6761,-1.08083
EGLM,51.5008,-0.774444
EGLW,51.4697,-0.179444
EGM,-8.57889,157.876
EGMT,51.5375,0.367634
EGN,13.4817,22.4672
EGNB,53.7197,-0.566333
EGNE,53.2806,-0.951389
EGNU,53.9806,-0.864722
EGO,50.6438,36.5901
EGOD,52.8117,-4.12358
EGOE,52.8712,-2.53356
EGOM,55.05,-2.55
EGOQ,53.2586,-4.37355
EGOS,52.7982,-2.66804
EGOW,53.5816,-3.05552
EGS,65.2833,-14.4014
EGSF,52.4681,-0.251111
EGSG,51.6525,0.155833
EGSM,52.4353,1.61833
EGSX,51.7217,0.154167
EGSY,53.3943,-1.38849
EGTC,52.0722,-0.616667
EGTF,51.3481,-0.558889
EGTN,51.9282,-1.4285
EGTR,51.6558,-0.325833
EGUW,52.1273,0.956264
EGV,45.9323,-89.2683
EGWC,52.64,-2.30558
EGX,58.1855,-157.375
EGXD,54.1372,-1.42025
EGXE,54.2924,-1.5354
EGXG,53.8343,-1.1955
EGXJ,52.7357,-0.648769
EGXT,52.6126,-0.476453
EGXZ,54.2055,-1.38209
EGYD,53.0303,-0.483242
EGYE,52.9622,-0.561625
EHAL,53.4517,5.67722
EHBD,51.2553,5.60139
EHDL,52.0606,5.87306
EHDP,51.5173,5.85572
EHDR,53.1192,6.12972
EHHO,52.7308,6.51611
EHHV,52.1919,5.14694
EHL,-41.9432,-71.5323
EHM,58.6464,-162.063
EHMZ,51.5122,3.73111
EHSE,51.5547,4.5525
EHTE,52.2447,6.04667
EHTL,52.0572,5.92444
EHTX,53.1153,4.83361
EHVK,51.6572,5.70778
EIB,50.9916,10.4797
EIE,58.4742,92.1125
EIK,46.68,38.21
EIL,64.6657,-147.102
EIME,53.3017,-6.45133
EIN,51.4501,5.37453
EINC,53.0711,-6.04528
EIS,18.4448,-64.543
EIWT,53.3522,-6.48611
EIY,30.6217,35.2033
EJA,7.02433,-73.8068
EJH,26.1986,36.4764
EJN,42.0155,101.001
EKA,40.8034,-124.113
EKAC,56.1517,10.2484
EKAE,54.8528,10.4564
EKAT,56.6989,11.5559
EKB,51.591,75.215
EKEL,55.7565,10.2485
EKFA,61.5437,-6.77442
EKGH,55.9414,12.3822
EKHG,56.1847,9.04445
EKI,41.7194,-86.0032
EKKL,55.7003,11.25
EKKV,62.2178,-6.57645
EKMS,62.1021,-7.64592
EKN,38.8894,-79.8571
EKNB,55.0748,9.75338
EKO,40.8249,-115.792
EKPB,54.8703,9.27901
EKS,49.1903,142.083
EKSR,61.6853,-6.7585
EKSS,55.8895,10.6137
EKSY,61.7696,-6.80341
EKT,59.3511,16.7084
EKTB,62.0217,-6.75742
EKTD,54.9297,8.84057
EKVD,55.4363,9.33092
EKVH,56.8469,9.45861
ELB,9.04554,-73.9749
ELC,-12.0194,135.571
ELD,33.221,-92.8133
ELF,13.6149,25.3246
ELG,30.5713,2.85959
ELH,25.4749,-76.6835
ELI,64.6147,-162.272
ELM,42.1599,-76.8916
ELO,-26.3975,-54.5747
ELP,31.8072,-106.378
ELQ,26.3028,43.7744
ELS,-33.0356,27.8259
ELT,28.209,33.6455
ELU,33.5114,6.77679
ELV,58.1952,-136.347
ELY,39.2997,-114.842
EMA,52.8311,-1.32806
EMD,-23.5675,148.179
EME,53.3911,7.2275
EMK,62.7861,-164.491
EML,47.0924,8.30518
EMN,16.622,-7.3166
EMP,38.3321,-96.1912
EMT,34.0861,-118.035
ENA,60.5731,-151.245
ENAS,78.9275,11.8743
ENBM,60.6389,6.5015
ENC,48.6921,6.23046
END,36.3392,-97.9165
ENE,-8.84929,121.661
ENEN,67.9672,14.9925
ENF,68.3626,23.4243
ENH,30.3203,109.485
ENJA,70.9441,-8.65207
ENK,54.3989,-7.65167
ENKJ,59.9693,11.0361
ENN,64.5473,-149.074
ENO,-27.2274,-55.8375
ENPY,78.6523,16.3372
ENRI,61.5454,10.0616
ENRK,59.3975,11.3469
ENS,52.2758,6.88917
ENSA,77.8969,16.725
ENT,11.3407,162.328
ENU,6.47427,7.56196
ENV,40.7187,-114.031
ENW,42.5957,-87.9278
ENY,36.6369,109.554
EOH,6.22055,-75.5906
EOI,59.1906,-2.77222
EOK,40.4599,-91.4285
EOR,6.73333,-61.5833
EOZ,7.08333,-69.5333
EPA,-34.6099,-58.6126
EPBA,49.805,19.0019
EPBC,52.2685,20.911
EPCE,54.416,17.7633
EPDE,51.5514,21.8936
EPGO,52.1844,21.2811
EPIR,52.8294,18.3306
EPJA,54.7103,18.6453
EPJG,50.8989,15.7856
EPKM,50.2381,19.0342
EPKO,54.1296,17.845
EPKS,52.3317,16.9664
EPL,48.325,6.06998
EPLK,51.5517,19.1791
EPLY,52.0047,19.1456
EPMB,54.0269,19.1342
EPMI,53.3951,16.0828
EPML,50.3223,21.4621
EPMM,52.1955,21.6559
EPPR,54.248,18.6716
EPPW,52.3794,17.8539
EPR,-33.6844,121.823
EPSD,53.3921,14.6338
EPSN,53.7906,15.8263
EPSU,54.0728,22.8992
EPTM,51.5844,20.0978
EPU,58.419,24.4728
EQS,-42.908,-71.1395
ERC,39.7102,39.527
ERD,46.815,36.7581
ERF,50.9798,10.9581
ERG,61.275,108.03
ERH,31.9475,-4.39833
ERI,42.0831,-80.1739
ERL,43.4225,112.097
ERM,-27.6619,-52.2683
ERN,-6.63953,-69.8798
ERS,-22.6122,17.0804
ERV,29.9767,-99.0857
ERZ,39.9565,41.1702
ESB,40.1281,32.9951
ESC,45.7227,-87.0937
ESCF,58.4023,15.5257
ESCK,58.6109,16.1036
ESCM,59.8973,17.5886
ESD,48.7082,-122.91
ESE,31.7953,-116.603
ESF,31.3949,-92.2958
ESFR,58.4981,13.0532
ESG,-22.05,-60.62
ESGK,58.1698,13.5878
ESH,50.8356,-0.297222
ESIA,58.5138,14.5071
ESIB,58.4264,12.7144
ESK,39.7841,30.5821
ESKB,59.4145,17.8821
ESKV,59.6759,12.6394
ESKX,58.7908,16.5712
ESL,46.3739,44.3309
ESM,0.978519,-79.6266
ESMA,56.6108,15.6048
ESMG,56.9503,13.9217
ESML,55.946,12.87
ESMP,57.2642,13.5994
ESMV,57.2922,14.1372
ESN,38.8042,-76.069
ESNA,63.7383,15.4583
ESNC,62.4089,13.7472
ESNF,61.898,15.7053
ESNJ,66.4962,20.1472
ESNM,63.1286,14.8028
ESNP,65.3983,21.2608
ESNR,61.19,14.7126
ESNT,62.4814,17.0029
ESPE,65.8753,20.1499
ESQO,59.3866,15.9241
ESR,-26.3111,-69.7652
ESS,51.4023,6.93733
ESSE,59.3451,17.7405
ESSZ,59.1011,17.2111
ESTL,56.0828,13.2125
ESU,31.3975,-9.68167
ESUK,67.7648,20.2572
ETB,43.4222,-88.1279
ETH,29.5613,34.9601
ETHB,52.2785,9.08217
ETHE,52.2912,7.387
ETHL,48.2203,9.91002
ETHM,50.366,7.31533
ETHN,49.3919,9.95889
ETHR,49.2175,11.1002
ETHS,52.9194,10.1858
ETIC,49.6987,11.9402
ETIH,49.2181,11.8361
ETM,29.7237,35.0114
ETND,52.5856,8.34222
ETNH,54.3122,9.53817
ETNJ,53.5335,7.88867
ETNN,50.8312,6.65817
ETNP,52.3387,7.54133
ETNT,53.5478,7.66733
ETNW,52.4573,9.42717
ETOI,49.6336,11.7672
ETOR,49.5636,8.46339
ETR,-3.44199,-79.997
ETS,31.2997,-85.8999
ETSA,48.0706,10.906
ETSB,50.1738,7.06333
ETSE,48.3223,11.9487
ETSH,51.7678,13.1677
ETSL,48.1855,10.8612
ETSN,48.711,11.2115
ETZ,48.9821,6.25132
EUA,-21.3783,-174.958
EUF,31.9513,-85.1289
EUG,44.1246,-123.212
EUM,54.0794,9.94139
